500,1373,2.965704
500,6,0.013256
500,6,0.015163
500,6,0.013180
500,6,0.013295
500,6,0.013412
500,6,0.013292
500,6,0.013270
500,6,0.013240
500,6,0.013573
500,6,0.013278
500,6,0.013309
500,6,0.013244
500,6,0.013363
500,6,0.013293
500,6,0.013564
500,6,0.015113
500,6,0.013287
500,6,0.013141
500,6,0.013636
500,6,0.013289
500,6,0.013220
500,6,0.018630
500,6,0.018127
500,6,0.018388
500,6,0.017933
500,6,0.018190
500,6,0.017912
500,6,0.017973
500,6,0.018238
500,6,0.017943
500,130,0.294790
500,130,0.305721
500,130,0.286409
500,130,0.284200
500,223,0.483965
500,223,0.497283
500,237,0.504135
500,237,0.509110
500,403,0.886848
500,233,0.560630
500,233,0.490333
500,730,1.632863
500,551,1.159926
500,254,0.546471
500,2693,6.245607
500,74,0.173894
500,74,0.158429
500,203,0.501303
500,203,0.442472
500,864,1.885529
500,62,0.146188
500,74,0.168032
500,74,0.193788
500,74,0.161741
500,74,0.158417
500,74,0.159443
500,74,0.158882
500,86,0.184728
500,86,0.211729
500,86,0.186100
500,86,0.201457
500,86,0.197145
500,353,0.757550
500,353,0.771877
500,1096,2.408641
500,35,0.074486
500,263,0.691868
500,263,0.553696
500,149,0.314429
500,149,0.316142
500,149,0.315636
500,410,0.923995
500,143,0.331724
500,143,0.333799
500,143,0.325815
500,327,0.716467
500,327,0.727638
500,261,0.573678
500,565,1.315404
500,76,0.174375
500,76,0.177497
500,76,0.174178
500,39,0.095145
500,39,0.091903
500,39,0.090810
500,39,0.096483
500,39,0.095072
500,39,0.083814
500,39,0.088508
500,39,0.083368
500,39,0.096669
500,39,0.082627
500,39,0.092181
500,222,0.520329
500,222,0.504468
500,302,0.689035
500,302,0.694921
500,40,0.098493
500,40,0.100400
